test1;test2;test3;test4;total_score;total_score_without_hw;final_score;d_campus;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_gain;treatment_loss;treatment_hybrid;homework_total;semester_tests;final_test;d_female;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;Group;female_loss;female_hybrid;macro_interest;macro_grade_goal;risk_pref;comp_pref;time_pref
9.5;15,5;16;15;102;90;92,5;0;1;1;1;0;0;0;0;1;0;12;46,5;34;1;1;0;0;0;0;0;2;1;0;5;5;9;6;12.000 forint
11.5;12;0;12;63,75;54,5;63,75;0;1;1;1;0;0;0;0;1;0;9,25;35,5;19;0;1;0;0;0;0;0;2;0;0;3;5;8;8;11.000 forint
6;11,5;0;0;69,25;57,5;69,25;0;1;1;1;0;0;0;0;1;0;11,75;17,5;40;0;1;0;0;0;0;0;2;0;0;3;4;7;8;15.000 forint
9.5;14,5;15;15,5;93,75;82,5;84,25;0;1;0;1;0;0;0;0;1;0;11,25;45;28;1;1;0;0;0;0;0;2;1;0;3;4;7;4;20.000 forint
8;8,5;13,5;15;90,75;79;82,75;0;1;1;1;0;0;0;0;1;0;11,75;37;34;0;1;0;0;0;0;0;2;0;0;3;4;6;7;12.000 forint
10.5;10;9;9,5;76,58;65,5;67,58;0;0;1;1;0;0;0;0;1;0;11,08;30;26,5;0;1;0;0;0;0;0;2;0;0;5;5;10;8;15.000 forint
16;14,5;14,5;13,5;104,5;94;91;0;1;1;1;0;0;0;0;1;0;10,5;45;35,5;1;1;0;0;0;0;0;2;1;0;NA;5;9;8;11.000 forint
8.5;14;9;11;80,25;70,5;71,75;0;1;1;1;0;0;0;0;1;0;9,75;34;28;0;1;0;0;0;0;0;2;0;0;4;5;4;6;12.000 forint
11.5;16;13,5;0;78,33;67,5;78,33;0;1;1;1;0;0;0;0;1;0;10,83;41;26,5;0;1;0;0;0;0;0;2;0;0;3;5;5;5;11.000 forint
10;13;11,5;13;88;77;78;0;1;0;1;0;0;0;0;1;0;11;37,5;29,5;1;1;0;0;0;0;0;2;1;0;2;4;8;5;15.000 forint
